ticker,classification,method_count,valid,has_growth_dcf,has_dcf_methods,has_duplicates,issues
JPM,reit,7,false,false,false,false,"Wrong count: 7 (expected 16-18)"
BAC,reit,9,false,false,false,false,"Wrong count: 9 (expected 16-18)"
WFC,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
GS,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
MS,reit,9,false,false,false,false,"Wrong count: 9 (expected 16-18)"
C,reit,9,false,false,false,false,"Wrong count: 9 (expected 16-18)"
USB,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
PNC,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
TFC,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
SCHW,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
BK,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
STT,reit,8,false,false,false,false,"Wrong count: 8 (expected 16-18)"
NTRS,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
FITB,reit,11,false,false,false,false,"Wrong count: 11 (expected 16-18)"
RF,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
CFG,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
KEY,reit,9,false,false,false,false,"Wrong count: 9 (expected 16-18)"
MTB,reit,11,false,false,false,false,"Wrong count: 11 (expected 16-18)"
PLD,reit,18,true,false,true,false,""
AMT,reit,11,false,false,true,false,"Wrong count: 11 (expected 16-18)"
EQIX,reit,9,false,false,false,false,"Wrong count: 9 (expected 16-18)"
PSA,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
CCI,reit,8,false,false,true,false,"Wrong count: 8 (expected 16-18)"
WELL,reit,17,true,false,true,false,""
SPG,reit,16,true,false,true,false,""
DLR,reit,7,false,false,false,false,"Wrong count: 7 (expected 16-18)"
O,reit,16,true,false,true,false,""
SBAC,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
VICI,reit,16,true,false,true,false,""
AVB,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
EQR,reit,18,true,false,true,false,""
VTR,reit,15,false,false,true,false,"Wrong count: 15 (expected 16-18)"
INVH,reit,18,true,false,true,false,""
ARE,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
MAA,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
UDR,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
NVDA,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
TSLA,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
AMD,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
SHOP,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
DDOG,value,12,false,false,true,false,"Wrong count: 12 (expected 13-13)"
CRWD,value,9,false,false,true,false,"Wrong count: 9 (expected 13-13)"
NET,growth,8,false,true,true,false,"Wrong count: 8 (expected 14-15); Missing required: growth-dcf-8y-ocf, growth-dcf-8y-fcf, growth-dcf-8y-ni"
SNOW,value,8,false,false,true,false,"Wrong count: 8 (expected 13-13)"
RBLX,value,8,false,false,true,false,"Wrong count: 8 (expected 13-13)"
COIN,value,8,false,false,false,false,"Wrong count: 8 (expected 13-13)"
ABNB,value,10,false,false,true,false,"Wrong count: 10 (expected 13-13)"
UBER,value,6,false,false,false,false,"Wrong count: 6 (expected 13-13)"
DASH,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
MELI,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
SE,value,10,false,false,true,false,"Wrong count: 10 (expected 13-13)"
AAPL,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
MSFT,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
GOOGL,value,6,false,false,true,false,"Wrong count: 6 (expected 13-13)"
AMZN,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
META,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
JNJ,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
V,reit,10,false,false,false,false,"Wrong count: 10 (expected 16-18)"
PG,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
XOM,reit,11,false,false,true,false,"Wrong count: 11 (expected 16-18)"
HD,reit,9,false,false,true,false,"Wrong count: 9 (expected 16-18)"
CVX,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
MRK,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
ABBV,reit,11,false,false,true,false,"Wrong count: 11 (expected 16-18)"
PEP,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
COST,value,5,false,false,true,false,"Wrong count: 5 (expected 13-13)"
AVGO,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
LLY,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
ADBE,value,13,true,false,true,false,""
KO,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
TMO,value,3,false,false,true,false,"Wrong count: 3 (expected 13-13)"
WMT,value,3,false,false,true,false,"Wrong count: 3 (expected 13-13)"
MCD,value,0,false,false,false,false,"Wrong count: 0 (expected 13-13)"
CSCO,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
ACN,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
ABT,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
NKE,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
DHR,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
CRM,reit,14,false,false,true,false,"Wrong count: 14 (expected 16-18)"
VZ,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
CMCSA,reit,5,false,false,false,false,"Wrong count: 5 (expected 16-18)"
TXN,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
INTC,value,5,false,false,false,false,"Wrong count: 5 (expected 13-13)"
NEE,reit,10,false,false,true,false,"Wrong count: 10 (expected 16-18)"
PM,reit,12,false,false,true,false,"Wrong count: 12 (expected 16-18)"
DIS,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
ORCL,reit,11,false,false,true,false,"Wrong count: 11 (expected 16-18)"
UPS,reit,13,false,false,true,false,"Wrong count: 13 (expected 16-18)"
