symbol,error,errorType
BA,"HTTP 429",http_error
BABA,"HTTP 429",http_error
BAC,"HTTP 429",http_error
BALL,"HTTP 429",http_error
BATL,"HTTP 429",http_error
BAX,"HTTP 429",http_error
BBY,"HTTP 429",http_error
BCOR,"HTTP 429",http_error
BDL,"HTTP 429",http_error
BDX,"HTTP 429",http_error
BEN,"HTTP 429",http_error
BG,"HTTP 429",http_error
BGI,"HTTP 429",http_error
BHB,"HTTP 429",http_error
BHM,"HTTP 429",http_error
BIDU,"HTTP 429",http_error
BIIB,"HTTP 429",http_error
BK,"HTTP 429",http_error
BKNG,"HTTP 429",http_error
BKR,"HTTP 429",http_error
BKTI,"HTTP 429",http_error
BLDR,"HTTP 429",http_error
BLK,"HTTP 429",http_error
BMNR,"HTTP 429",http_error
BMW,"HTTP 429",http_error
BMY,"HTTP 429",http_error
BR,"HTTP 429",http_error
BRBS,"HTTP 429",http_error
BRIA,"HTTP 429",http_error
BRN,"HTTP 429",http_error
BRO,"HTTP 429",http_error
BSX,"HTTP 429",http_error
BTG,"HTTP 429",http_error
BURU,"HTTP 429",http_error
BX,"HTTP 429",http_error
BXP,"HTTP 429",http_error
C,"HTTP 429",http_error
CAG,"HTTP 429",http_error
CAH,"HTTP 429",http_error
CANF,"HTTP 429",http_error
CAR,"HTTP 429",http_error
CARR,"HTTP 429",http_error
CAT,"HTTP 429",http_error
CATX,"HTTP 429",http_error
CB,"HTTP 429",http_error
CBOE,"HTTP 429",http_error
CBRE,"HTTP 429",http_error
CCEP,"HTTP 429",http_error
CCI,"HTTP 429",http_error
CCL,"HTTP 429",http_error
CDNS,"HTTP 429",http_error
CDW,"HTTP 429",http_error
CEG,"HTTP 429",http_error
CF,"HTTP 429",http_error
CFG,"HTTP 429",http_error
CHD,"HTTP 429",http_error
CHOW,"HTTP 429",http_error
CHRW,"HTTP 429",http_error
CHTR,"HTTP 429",http_error
CI,"HTTP 429",http_error
CINF,"HTTP 429",http_error
CIX,"HTTP 429",http_error
CKX,"HTTP 429",http_error
CL,"HTTP 429",http_error
CLDI,"HTTP 429",http_error
CLX,"HTTP 429",http_error
CMCL,"HTTP 429",http_error
CMCSA,"HTTP 429",http_error
CME,"HTTP 429",http_error
CMG,"HTTP 429",http_error
CMI,"HTTP 429",http_error
CMS,"HTTP 429",http_error
CMT,"HTTP 429",http_error
CNC,"HTTP 429",http_error
CNP,"HTTP 429",http_error
COE,"HTTP 429",http_error
COF,"HTTP 429",http_error
COHN,"HTTP 429",http_error
COIN,"HTTP 429",http_error
COO,"HTTP 429",http_error
COP,"HTTP 429",http_error
COR,"HTTP 429",http_error
COST,"HTTP 429",http_error
CPAY,"HTTP 429",http_error
CPB,"HTTP 429",http_error
CPHI,"HTTP 429",http_error
CPRT,"HTTP 429",http_error
CPT,"HTTP 429",http_error
CQP,"HTTP 429",http_error
CRL,"HTTP 429",http_error
CRM,"HTTP 429",http_error
CRWD,"HTTP 429",http_error
CSCO,"HTTP 429",http_error
CSGP,"HTTP 429",http_error
CSX,"HTTP 429",http_error
CTAS,"HTTP 429",http_error
CTGO,"HTTP 429",http_error
CTM,"HTTP 429",http_error
CTRA,"HTTP 429",http_error
CTSH,"HTTP 429",http_error
CTVA,"HTTP 429",http_error
CVM,"HTTP 429",http_error
CVR,"HTTP 429",http_error
CVS,"HTTP 429",http_error
CVU,"HTTP 429",http_error
CVX,"HTTP 429",http_error
CYBN,"HTTP 429",http_error
D,"HTTP 429",http_error
DAL,"HTTP 429",http_error
DASH,"HTTP 429",http_error
DAY,"HTTP 429",http_error
DC,"HTTP 429",http_error
DD,"HTTP 429",http_error
DDC,"HTTP 429",http_error
DDOG,"HTTP 429",http_error
DE,"HTTP 429",http_error
DECK,"HTTP 429",http_error
DELL,"HTTP 429",http_error
DG,"HTTP 429",http_error
DGX,"HTTP 429",http_error
DHI,"HTTP 429",http_error
DHR,"HTTP 429",http_error
DIS,"HTTP 429",http_error
DIT,"HTTP 429",http_error
DLR,"HTTP 429",http_error
DLTR,"HTTP 429",http_error
DMYY,"HTTP 429",http_error
DNN,"HTTP 429",http_error
DOC,"HTTP 429",http_error
DOV,"HTTP 429",http_error
