industry,n,subset_n,features,intercept,rmse,r2,med_ratio_meanPS,med_ratio_meanPB,med_ratio_dcf,coef_dcf20,coef_dfcf20,coef_dni20,coef_meanPB,coef_meanPS
Asset Management,16,14,"meanPS,meanPB,dcf20",-17.511399,11.012978,0.992088,0.8701888162672476,0.7977952957764533,0.7262121212121212,-0.002451,0.0,0.0,0.345076,0.745768
Auto - Manufacturers,15,5,"meanPS,meanPB,dni20",-19.414687,0.0,1.0,0.3863629733356672,1.0100937876133615,0.9454761082270613,0.0,0.0,0.836735,0.282153,0.21324
Banks - Regional,5,5,"meanPS,meanPB,dni20",3.235236,1.121452,0.999698,0.7841583728578095,0.962097994336036,0.3246638448331548,0.0,0.0,-0.075748,-0.162844,1.032029
Drug Manufacturers - General,5,5,"meanPS,meanPB,dcf20",-14.456361,1.75992,0.999973,1.0339586611392302,0.9396616338902432,0.8338779712610234,0.368901,0.0,0.0,-0.432168,1.162567
Financial - Capital Markets,9,6,"meanPS,meanPB,dni20",-10.661442,3.650489,0.999259,0.9453268918737572,0.9806177893837156,0.19340695487776985,0.0,0.0,0.076672,0.452549,0.411873
Financial - Credit Services,6,4,"meanPS,meanPB,dni20",-137.399196,0.0,1.0,0.8977315695473693,0.973041354469818,0.091930477255609,0.0,0.0,0.559712,0.018148,0.569153
Medical - Healthcare Plans,12,10,"meanPS,meanPB,dni20",3.4296,18.135025,0.990903,0.7410140546358139,0.9385042055284203,0.664025589850956,0.0,0.0,1.471369,3.078014,-2.905446
Regulated Electric,8,8,"meanPS,meanPB,dfcf20",-0.07625,0.461962,0.999745,0.9999567477224574,0.9406663225779085,0.5568675632141558,0.0,-0.008171,0.0,-0.050625,1.045138
REIT - Office,7,4,"meanPS,meanPB,dfcf20",-5.99977,0.0,1.0,0.8217365006991157,1.0003478233884722,0.3421631095372729,0.0,-0.001232,0.0,0.205936,0.865259
REIT - Residential,5,4,"meanPS,meanPB,dfcf20",-3.889203,0.0,1.0,0.8614968167125849,0.9989454429088525,2.397828347002426,0.0,-0.190444,0.0,-0.02722,0.980986
REIT - Retail,5,5,"meanPS,meanPB,dfcf20",0.14014,0.031566,0.999999,0.8693514687205539,0.998714748820986,1.155144256940664,0.0,0.007015,0.0,1.034668,-0.037134
