industry,n,subset_n,oracle_mean,oracle_median,mean_ratio_ps,mean_ratio_pb,mean_ratio_dcf
Asset Management,12,16,149.345,60.75,0.8701888162672476,0.7977952957764533,0.7262121212121212
Auto - Manufacturers,11,15,53.28866666666667,20.36,0.3863629733356672,1.0100937876133615,0.9454761082270613
Financial - Capital Markets,9,9,165.83,84.54,0.9453268918737572,0.9806177893837156,0.19340695487776985
Regulated Electric,8,8,77.8475,82.715,0.9999567477224574,0.9406663225779085,0.5568675632141558
Medical - Healthcare Plans,8,12,252.0575,239.67000000000002,0.7410140546358139,0.9385042055284203,0.664025589850956
REIT - Office,7,7,68.66714285714285,36.36,0.8217365006991157,1.0003478233884722,0.3421631095372729
Financial - Credit Services,6,6,96.87666666666667,57.94499999999999,0.8977315695473693,0.973041354469818,0.091930477255609
Drug Manufacturers - General,5,5,293.246,186.28,1.0339586611392302,0.9396616338902432,0.8338779712610234
Banks - Regional,5,5,64.664,41.11,0.7841583728578095,0.962097994336036,0.3246638448331548
REIT - Residential,5,5,145.32200000000003,152.0,0.8614968167125849,0.9989454429088525,2.397828347002426
REIT - Retail,5,5,76.09200000000001,67.15,0.8693514687205539,0.998714748820986,1.155144256940664
Banks - Diversified,4,4,95.4825,63.005,0.7339914925782409,0.9659317409659456,0.0621861722672846
Regulated Gas,4,4,70.72,63.385,0.9471062246488577,0.8396920075885226,0.4312804695646024
REIT - Industrial,4,4,133.99,109.18,0.8522996730000205,0.998723168733526,1.5972679817456468
Biotechnology,3,3,424.07,424.36,1.002323701710205,0.8062207534451475,0.5187448800324512
REIT - Specialty,3,3,379.17333333333335,179.11,0.8540345399551176,1.0029476390889198,0.5819639814227003
Independent Power Producers,2,2,84.055,84.055,1.0010469240311584,1.7068012130015213,0.19882890983633164
REIT - Diversified,2,3,45.28333333333333,35.98,0.8945370689027162,0.9998027070811484,1.37862950058072
Diversified Utilities,2,2,44.81,44.81,1.001261607477704,0.7661547043643077,0.5096569742813737
REIT - Hotel & Motel,1,1,17.7,17.7,0.9252676480428236,1.001255812374843,1.503823279524214
Asset Management - Global,1,2,105.67,105.67,0.5277230649987815,0.4895218603220458,0.4903707828669543
Software - Infrastructure,1,1,46.01,46.01,0.4535695062490265,2.953903441191577,0.0085472308346786
