dcf20,dfcf20,dfcfTerminal,discountRate,dni20,flag_dcf_missing,flag_dcf_negative,flag_dfcf_missing,flag_dfcf_negative,flag_dni_missing,flag_meanpb_missing,flag_meanps_missing,growth_11_20,growth_1_5,growth_6_10,industry,meanPB,meanPE,meanPE_noNRI,meanPS,medianPB,medianPE,medianPS,oraclePremiumPct,oracleValue,ratio_oracle_dcf,ratio_oracle_meanPB,ratio_oracle_meanPS,ratio_oracle_medianPB,ratio_oracle_medianPS,ruleOf40,sector,source_file,ticker,predictedOracle,strategyUsed,absError,pctError
174.46,81.29,47.29,7.77,64.92,False,False,False,False,False,False,False,4.0,25.33,8.3,Auto - Manufacturers,468.9294,370.116,351.7472,368.2896,388.3284,160.771,326.796,76.49,245.75,1.408632351255302,0.524066096090371,0.6672737975766896,0.6328406575465508,0.7519981884723191,5.07,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,TSLA,240.72464717290174,auto_manufacturers,5.02535282709826,0.0204490450746623
381.73,-138.73,,6.87,,False,False,False,True,True,False,False,4.0,9.79,4.0,Auto - Manufacturers,69.7172,35.358,36.6268,77.772,57.6234,31.5234,64.1619,50.03,46.43,0.1216304717994394,0.6659762583695271,0.5970014915393714,0.8057490533359712,0.7236381715628745,4.79,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,GM,46.60144259392777,auto_manufacturers,0.17144259392777172,0.0036924961001027724
59.45,22.36,84.23,7.47,,False,False,False,False,True,False,False,4.0,8.83,4.0,Auto - Manufacturers,13.9872,-1.3224,-3.7996,15.4539,12.8592,12.1568,14.049,-0.93,13.97,0.2349873843566021,0.9987703042781972,0.9039789308847604,1.086381734478039,0.9943768239732366,7.0,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,F,15.335737366107693,auto_manufacturers,1.3657373661076928,0.09776215934915482
225.59,-167.7,,5.37,174.21,False,False,False,True,False,False,False,4.0,0.99,4.0,Auto - Manufacturers,204.8408,208.2855,207.7902,203.811,201.012,198.0348,201.3255,-9.77,227.61,1.0089542976195751,1.1111555900972854,1.116769948628877,1.1323204584800908,1.1305572319452826,13.66,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,TM,227.60999999999987,auto_manufacturers,1.4210854715202004e-13,6.243510704802954e-16
22.76,-88.28,,5.37,47.54,False,False,False,True,False,False,False,4.0,10.42,10.3,Auto - Manufacturers,34.7826,25.7115,24.4245,37.152,34.7826,23.4545,38.184,-17.27,38.1,1.6739894551845342,1.0953752738438185,1.025516795865633,1.0953752738438185,0.9978001257071024,6.25,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,HMC,38.09999999999998,auto_manufacturers,2.1316282072803006e-14,5.594824691024411e-16
4.54,-9.89,,7.77,,False,False,False,True,True,False,False,4.0,0.0,4.0,Auto - Manufacturers,4.05,15.3216,16.0208,16725.669,9.15,10.032,21.3188,-21.09,16.45,3.623348017621145,4.061728395061729,0.0009835182078516,1.797814207650273,0.771619415726964,-82.77,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,RIVN,15.259299579066477,auto_manufacturers,1.1907004209335224,0.07238300431206823
,-178.01,,5.37,,True,False,False,True,True,False,False,4.0,0.0,10.61,Auto - Manufacturers,37.7104,70.1688,55.6385,37924.0,21.7952,44.3226,41.1616,-52.71,39.08,,1.0363188934617509,0.0010304820166649,1.7930553516370575,0.9494285936406748,-270.53,Consumer Cyclical,stockoracle_payloads/auto_cluster_2025-10-25.json,LCID,35.84945602817169,auto_manufacturers,3.230543971828311,0.08266489180727511
,,,7.77,,True,False,True,False,True,False,False,4.0,9.06,4.0,Auto - Manufacturers,20.2028,-34.8621,-29.5659,14.8824,20.2028,-2.8574,14.8824,-46.56,20.36,,1.0077810996495535,1.3680589152287264,1.0077810996495535,1.3680589152287264,-9.71,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,STLA,18.822820039964476,auto_manufacturers,1.5371799600355232,0.07549999803710822
,,,6.87,,True,False,True,False,True,False,False,4.0,0.0,21.94,Auto - Manufacturers,0.2093,29.7017,28.896,28.9008,-0.4277,9.7395,10.2384,6.15,6.5,,31.05590062111801,0.2249072690029341,-15.19756838905775,0.6348648226285357,-17.1,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,NIO,6.5000000000000115,auto_manufacturers,1.1546319456101628e-14,1.7763568394002505e-15
48.05,29.99,28.82,5.97,31.75,False,False,False,False,False,False,False,4.0,6.06,4.0,Auto - Manufacturers,41.9565,166.74,495.1968,109.6896,38.5191,14.154,65.7024,-48.28,42.38,0.8819979188345475,1.0100937876133615,0.3863629733356672,1.1002333907074673,0.6450297097214105,9.27,Consumer Cyclical,stockoracle_payloads/auto_cluster_extra_2025-10-27.json,LI,44.736867499999995,auto_manufacturers,2.356867499999993,0.05561273006134952
