TSM,Taiwan Semiconductor,NYSE,Technology,Semiconductors
BABA,Alibaba Group,NYSE,Consumer Discretionary,Internet Retail
NVO,Novo Nordisk,NYSE,Health Care,Pharmaceuticals
ASML,ASML Holding,NASDAQ,Technology,Semiconductor Equipment
SONY,Sony Group,NYSE,Communication Services,Entertainment
TM,Toyota Motor,NYSE,Consumer Discretionary,Automotive
TCEHY,Tencent Holdings,OTC,Communication Services,Internet Content
JD,JD.com,NASDAQ,Consumer Discretionary,Internet Retail
BIDU,Baidu,NASDAQ,Communication Services,Internet Content
PDD,PDD Holdings,NYSE,Consumer Discretionary,Internet Retail
