COIN,Coinbase Global Inc.,NASDAQ,Financials,Crypto Exchange
MARA,Marathon Digital Holdings,NASDAQ,Financials,Crypto Mining
RIOT,RIOT Platforms Inc.,NASDAQ,Financials,Crypto Mining
MSTR,MicroStrategy Incorporated,NASDAQ,Technology,Software
SQ,Block Inc.,NYSE,Technology,Payments
PYPL,PayPal Holdings,NASDAQ,Technology,Payments
HOOD,Robinhood Markets,NASDAQ,Financials,Brokerage
PLTR,Palantir Technologies,NYSE,Technology,Software
SOFI,SoFi Technologies,NASDAQ,Financials,Fintech
RBLX,Roblox Corporation,NYSE,Communication Services,Entertainment
