AAPL,Apple Inc.,NASDAQ,Technology,Consumer Electronics
MSFT,Microsoft Corp.,NASDAQ,Technology,Software
JNJ,Johnson & Johnson,NYSE,Health Care,Pharmaceuticals
JPM,JPMorgan Chase & Co.,NYSE,Financials,Banking
V,Visa Inc.,NYSE,Financials,Payments
HD,Home Depot Inc.,NYSE,Consumer Discretionary,Home Improvement
PG,Procter & Gamble Co.,NYSE,Consumer Staples,Household Products
DIS,Walt Disney Co.,NYSE,Communication Services,Entertainment
UNH,UnitedHealth Group Inc.,NYSE,Health Care,Managed Health Care
INTC,Intel Corp.,NASDAQ,Technology,Semiconductors
