AAPL,Apple Inc.,NASDAQ,Technology,Consumer Electronics
MSFT,Microsoft Corp.,NASDAQ,Technology,Software
NVDA,NVIDIA Corp.,NASDAQ,Technology,Semiconductors
GOOGL,Alphabet Inc.,NASDAQ,Communication Services,Internet Content
META,Meta Platforms Inc.,NASDAQ,Communication Services,Social Media
AMZN,Amazon.com Inc.,NASDAQ,Consumer Discretionary,Internet Retail
TSLA,Tesla Inc.,NASDAQ,Consumer Discretionary,Automotive
ADBE,Adobe Inc.,NASDAQ,Technology,Software
NFLX,Netflix Inc.,NASDAQ,Communication Services,Streaming
CSCO,Cisco Systems Inc.,NASDAQ,Technology,Networking
