AAPL,Apple Inc.,NASDAQ,Technology,Consumer Electronics
MSFT,Microsoft Corp.,NASDAQ,Technology,Software
GOOGL,Alphabet Inc.,NASDAQ,Communication Services,Internet Content
AMZN,Amazon.com Inc.,NASDAQ,Consumer Discretionary,Internet Retail
META,Meta Platforms Inc.,NASDAQ,Communication Services,Social Media
NVDA,NVIDIA Corp.,NASDAQ,Technology,Semiconductors
JPM,JPMorgan Chase & Co.,NYSE,Financials,Banking
V,Visa Inc.,NYSE,Financials,Payments
JNJ,Johnson & Johnson,NYSE,Health Care,Pharmaceuticals
WMT,Walmart Inc.,NYSE,Consumer Staples,General Merchandise
